Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
"The Last Lion: Winston Spencer Churchill, Visions of Glory 1874-1932",William Manchester,1983,"Little, Brown and Company, Boston",History / Biography,"The Last Lion, Volume 1","Hardcover, no dust jacket",973,0-316-54503-1,First Edition,First Edition,$8,"Common; without dust jacket, lower value than jacketed copies",8.66,"Excellent condition, no dust jacket if one was issued | noDJ","First volume of William Manchester's Churchill biography trilogy, covering Churchill's life from his 1874 birth through 1932, tracing his rise as soldier, adventurer, and statesman",,Own
The Lays of Beleriand,J.R.R. Tolkien,1985,"Houghton Mifflin Company, Boston",Fantasy / Poetry / Literary Criticism,"The History of Middle-earth, Vol. 3",Hardcover with dust jacket,393,0-395-39429-5,First Edition (US),First Printing,$35,"Uncommon; niche interest even among Tolkien collectors, part of the scholarly History of Middle-earth series",8.00,"Near Fine, hasDJ | Near Fine; dust jacket wrinkled and shelf worn","Third volume of Christopher Tolkien's twelve-volume History of Middle-earth series, presenting his father's unfinished alliterative and rhymed verse epics — the Lay of the Children of Húrin and the Lay of Leithian (the tale of Beren and Lúthien) — with extensive editorial commentary tracing the evolution of the Elder Days legendarium. Includes C.S. Lewis's detailed critique of the Lay of Leithian.",,Own
The Legacy,R.A. Salvatore,1992,"TSR, Inc., Lake Geneva, WI",Fantasy,Forgotten Realms,Hardcover with dust jacket,0,1-56076-529-1,First Printing,Sep-92,$25,Uncommon; popular among fantasy collectors and Forgotten Realms fans,0,"Near Fine, hasDJ | Near Fine; hardcover; dust jacket with only slight wear","A novel set in the Forgotten Realms universe, continuing the adventures of Drizzt Do'Urden. Written by R.A. Salvatore, 'The Legacy' is a key installment in the Icewind Dale saga.",,Own
"The Legend of Drizzt: 25th Anniversary Edition, Book I",R.A. Salvatore,2013,"Wizards of the Coast, Renton, WA",Fantasy / Epic Fantasy,"Forgotten Realms: The Legend of Drizzt, Books 1-3 (The Dark Elf Trilogy)",Paperback,936,978-0-7869-6537-3,25th Anniversary Edition,"This Edition First Printing, September 2013",$8,"Common; widely printed trade paperback omnibus, not scarce",8.72,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Omnibus collecting the first three novels in R.A. Salvatore's Legend of Drizzt series — Homeland, Exile, and Sojourn — chronicling the dark elf ranger Drizzt Do'Urden's escape from the treacherous city of Menzoberranzan into the dangers of the World Above. Cover art by Todd Lockwood.",,Own
The Letter of Marque,Patrick O'Brian,1988,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 12",Paperback,284,0-393-30905-3,Norton Paperback Edition,1992 Norton paperback printing,$7,"Common; widely printed installment in a major historical fiction series, not scarce",9.04,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Twelfth novel in the Aubrey-Maturin series, in which the disgraced Jack Aubrey, stripped of his post-captain's rank, takes command of the Surprise as a privateer with a letter of marque, seeking redemption through a daring mission against the French.",,Own
"The Lord of the Rings (Three-Volume Hardback Set: The Fellowship of the Ring, The Two Towers, The Return of the King)",J.R.R. Tolkien,2022,"HarperCollins Publishers, London",Fantasy,Middle-earth,Hardcover (Three-Volume Set),0,978-0-00-856712-5,"Second Edition text (1966), 2022 hardback reset printing",This hardback edition 2022,$55,"Common; current in-print trade edition, not scarce or first-edition collectible",,"New | Near Fine; three-volume set in excellent, nearly perfect condition","Modern HarperCollins hardback reset edition of Tolkien's The Lord of the Rings trilogy, based on the revised 1966 second edition text. A current in-print trade edition rather than a first printing or fine-press collectible.",,Own
The Lost Road and Other Writings,J.R.R. Tolkien,1987,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 5",Hardcover with dust jacket,455,0-395-45519-7,First Edition text (US),Third Printing,$20,"Common; not a true first printing, later Houghton Mifflin print run, lower collector premium than a first",7.94,"Near Fine, hasDJ | Near Fine; dust jacket wrinkled and shelf worn","Fifth volume of Christopher Tolkien's History of Middle-earth series, containing 'The Lost Road,' Tolkien's unfinished time-travel story connecting the present day to Númenor and Middle-earth, alongside further developments of the Annals of Valinor and Beleriand and the evolving Silmarillion material.",,Own
The Magical Art of Virgil,Edward Kennard Rand,1931,Harvard University Press,Classical Literature / Literary Criticism,,Hardcover,0,,First Edition,First printing (1931),$40,Uncommon; collectible for classical literature scholarship,0,"Very Fine, noDJ | Very Fine (VF); hardcover; no dust jacket (if applicable); very minor shelf wear","A scholarly examination of Virgil's poetic artistry, exploring themes, literary technique, and historical influence, authored by Edward Kennard Rand.",,Own
The Masque of Comus: The Poem by John Milton & The Airs by Henry Lawes,John Milton; Henry Lawes,0,"The Heritage Press (printed at University Press, Cambridge)",Poetry / Masque,,Hardcover,0,,Heritage Press edition printed at Cambridge University Press,First printing (c. 1954/55),$20,Uncommon; limited print and Dulac's final work,0,"Very Fine, noDJ | Very Fine (VF); no dust jacket (originally issued slipcased, dust jackets not standard)",A richly illustrated edition of Milton's masque with Dulac watercolors and prefatory essays by Mark van Doren and Hubert Foss,,Own
The Memory of Earth,Orson Scott Card,1992,"Tor Books (Tom Doherty Associates, Inc.)",Science Fiction,"Homecoming Saga, Book 1",Hardcover with dust jacket,294,0-312-93036-4,First Edition,"First Trade Edition, March 1992 (full number line to 1)",$20,"Common; large print run, not scarce, but desirable as a complete matched first-edition set",7.20,"Very Fine, hasDJ | Great condition; light dust jacket wear, mainly on top edges","First volume of Orson Scott Card's Homecoming saga, a science fiction reimagining of the Book of Mormon set 40 million years in humanity's future. On the planet Harmony, the artificial intelligence Oversoul begins to fail, threatening the peace it has enforced for millennia. Cover art and maps by Ellisa Mitchell.",,Own
The Message of the Sphinx: A Quest for the Hidden Legacy of Mankind,Graham Hancock and Robert Bauval,1996,Crown Publishers,History,,Paperback,362,0517705036,First American Edition,1st Printing,,Common; a bestselling title with a large first printing and abundant surviving copies,78,"Fair: heavy wear, edge/corner wear, creased spine and cover, no dust jacket applicable (paperback)","Hancock and Bauval's investigation into the age and astronomical alignment of the Great Sphinx and the Giza pyramids, arguing for a far older origin than conventional Egyptology accepts.",No,Own
The Moscow Offensive,Dale Brown,2018,William Morrow,Techno-Thriller,Brad McLanahan,Hardcover,421,978-0-06-244201-7,First Edition,First printing,$10,Uncommon; first edition hardcover with matching dust jacket in the used book market,8.3,Very Good | hasDJ: hardcover with matching dust jacket showing light shelf wear,"When a Russian-controlled air freight company is used to smuggle advanced weapons into the United States, Brad McLanahan and the Iron Wolf Squadron must counter a homeland strike orchestrated by Russian president Gennadiy Gryzlov. Fourth entry in the Brad McLanahan series.",No,
The New Magus: Ritual Magic as a Personal Process,Donald Tyson,1987,"Llewellyn Publications, St. Paul, MN",Occult / Ritual Magic,Llewellyn's High Magick Series,Paperback,346,0-87542-825-8,First Edition,"Fourth Printing, 1993",$45,"Scarce; out of print, superseded by later expanded edition, active collector demand in occult circles",7.26,Minor shelf wear paperback,"Practical guide to modern ritual magic, covering sigils, invocations, god-forms, and personal magical development, aimed at reinterpreting traditional occult practice for contemporary practitioners",,Own
The Nutmeg of Consolation,Patrick O'Brian,1991,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 14",Paperback,372,0-393-30906-1,Norton Paperback Edition,1993 Norton paperback printing (number line to 1),$7,"Common; widely printed installment in a major historical fiction series, not scarce",8.86,"Good, noDJ | Good; trade paperback in protective plastic cover, no dust jacket as issued","Fourteenth novel in the Aubrey-Maturin series, opening with Jack Aubrey and Stephen Maturin shipwrecked on an island in the South China Sea and building a schooner from the wreckage, before their adventures carry them through Batavia and on to the penal colony at Botany Bay.",,Own
The Octunnumi: Fosbit Files Prologue,Trevor Alan Foris,2019,Scariodintt Publisharys,Fantasy / Young Adult,"Fosbit Files, Book 1 (Prologue)",Paperback with black sprayed edges (originally boxed),520,978-1-913234-01-0,First Edition,First Printing,$30,Uncommon; self-published/indie fantasy phenomenon sold directly through author's website with limited print runs,8.06,"Perfect condition, original box packaging retained separately","Debut prologue novel in an independently published fantasy series marketed around an immersive mystery premise, following twin brothers Regious and Tradien into a hidden world of Tarelen peoples and Avitens",,Own
The Orion Mystery: Unlocking the Secrets of the Pyramids,Robert Bauval and Adrian Gilbert,1994,"Crown Publishers, Inc., New York",Egyptology / Archaeoastronomy / Alternative History,,Hardcover with dust jacket,325,0-517-59903-1,First American Edition,Second Printing,$8,"Common; bestseller with large print run, widely available",7.86,"Great shape, shelf worn dust jacket | hasDJ","Investigation into the Orion Correlation Theory, proposing the Giza pyramids were deliberately aligned to mirror the stars of Orion's Belt as they appeared circa 10,500 BCE",,Own
The Pillars of Creation,Terry Goodkind,2001,"Tor Books (Tom Doherty Associates, LLC), New York",Fantasy / Epic Fantasy,"The Sword of Truth, Book 7",Hardcover with dust jacket,557,0-765-30026-5,First Edition,,$10,"Common; bestselling series entry, widely available",7.42,Only slightly shelf worn dust jacket | hasDJ,"Seventh novel in Terry Goodkind's Sword of Truth series, following new protagonist Jennsen as Richard and Kahlan confront a mysterious threat emerging from an ancient, forbidden magic",,Own
The Possessed,Fyodor Dostoevsky,1959,"The Heritage Press, New York",Classic Literature / Russian Literature,,Hardcover,700,,Heritage Press Edition (Illustrated by Fritz Eichenberg),1959 George Macy Companies issue,$30,Uncommon; collectible for Heritage Press and Eichenberg illustrations,9.2,"Very Fine, noDJ | Very Fine (VF): Decorative hardcover with original slipcase; slipcase shows minor wear; no dust jacket as issued","Dostoevsky's political and psychological masterpiece, also known as 'Demons' or 'The Devils,' exploring nihilism, morality, and revolution in 19th-century Russia. This Heritage Press edition features Fritz Eichenberg's illustrations and includes the suppressed chapter 'Stavrogin's Confession.'",No,Own
The Power of Psychic Awareness,Kingdon L. Brown,1969,"Parker Publishing Company, Inc., West Nyack, NY",Occult / Parapsychology / Self-Help,,Paperback,200,0136867413,First Edition text,"Fifth Printing, November 1973",$6,"Common; multiple printings, widely available secondhand",,"Paperback, decent shape, more shelf worn","Self-help guide to developing psychic and ESP abilities through meditation, presenting a five-step plan for 'Cosmic Attunement'",,Own
The Prince,Niccolò Machiavelli,1954,"The Heritage Press, New York",Political Philosophy,,Hardcover,150,,"Heritage Press Edition (Hill Thompson Translation, Preface by Irwin Edman)",1954 George Macy Companies issue,$30,Uncommon; collectible for Heritage Press and political philosophy enthusiasts,9,Very Fine | Very Fine (VF): Hardcover; slightly worn inside and outside spine; intact slipcover with minor wear; includes Sandglass booklet,"Machiavelli's influential treatise on power and governance, presented in a 1954 Heritage Press edition. Translated by Hill Thompson with a new preface by Irwin Edman, this edition includes original slipcase and Sandglass companion leaflet.",No,Own
The Principles of Necromancy,Jackson Lanzing; Collin Kelly; Eamon Winkle,2024,Magma Comix,Graphic Novel / Fantasy / Horror,,Softcover,0,9781960820000,First Edition,First printing (September 2024),$15,Common; recent publication but niche genre appeal,0,Very Fine | Very Fine (VF); softcover,"A dark fantasy graphic novel exploring the rules, rituals, and costs of necromancy, blending grim storytelling with vivid illustrations.",,Own
The Priory of the Orange Tree,Samantha Shannon,2020,"Bloomsbury Publishing, New York",Fantasy / High Fantasy,"The Roots of Chaos, Book 1",Paperback,831,978-1-63557-030-4,Reprint Edition,,$8,"Common; million-copy bestseller, widely available",8.38,"Big paperback, near new, shelf wear, a couple page corners have small indents, nothing missing beyond the edge","Standalone feminist epic fantasy retelling of Saint George and the Dragon, following Queen Sabran of Inys and outsider mage Ead Duryan as an ancient draconic evil threatens to return",,Own
The Queen of the Damned,Anne Rice,1988,"Ballantine Books, New York",Horror / Gothic Fiction / Vampire Fiction,"The Vampire Chronicles, Book 3",Paperback,,0-345-41962-6,Ballantine Trade Paperback Edition,"First Ballantine Trade Paperback Printing, October 1997",$5,"Common; widely printed bestselling entry in a major horror series, not scarce",7.86,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Third novel in The Vampire Chronicles, in which the ancient vampire queen Akasha awakens from a six-thousand-year slumber with a devastating plan to remake the world, drawing Lestat and vampires old and new into a confrontation that reveals the origins of their kind. Includes poems by Stan Rice.",,Own
The Rainmaker,John Grisham,1995,Doubleday,Fiction,,Hardcover,434,0385424736,First Edition,1st Printing,$10.00,Common; a bestselling title with abundant surviving copies,79,"Very Good: light-moderate wear, hasDJ | dust jacket Fair: heavy wear, edge/corner wear","Legal thriller following Rudy Baylor, a broke and inexperienced recent law graduate, as he takes on a powerful insurance company in a fraud case that could make or break his career.",No,Own
The Red Terrors,Kenneth Robeson (house name; credited to Lester Dent and Harold A. Davis),1976,"Bantam Books, New York",Pulp / Adventure / Science Fiction,"Doc Savage (Bantam), No. 83",Paperback,136,0-553-06486-X,Bantam Reprint Edition,"First Bantam Printing, July 1976",$4,"Common; widely reprinted Bantam Doc Savage series entry, not scarce",7.38,"Fair, noDJ | Fair; heavy wear consistent with vintage mass-market paperback, no dust jacket as issued","Doc Savage and his crew investigate a diphtheria-stricken ship and a series of attacks by mysterious red humanoid creatures, uncovering a hidden undersea civilization. Originally serialized in Doc Savage Magazine in September 1938; cover art by Boris Vallejo.",,Own
The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down,Colin Woodard,2007,Harcourt,History,,Hardcover,384,0151013020,First Edition,,$12.00,Common; a bestselling title with abundant surviving copies in all conditions,78,"Near Fine: light wear, hasDJ, protectedDJ","Woodard's history of the early 18th-century pirate haven in the Bahamas, tracing the rise of figures like Blackbeard and Black Sam Bellamy and the campaign to suppress them.",No,Own
"The Return of the Shadow: The History of the Lord of the Rings, Part One",J.R.R. Tolkien,1988,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 6",Hardcover with dust jacket,502,0-395-49863-5,First Edition (US),"Printing uncertain — number line reads 'FFG 11 10 9 8' (does not descend to 1); confirmed multiple printings exist (eight total per bibliographic sources), likely not the true first",$25,Uncommon; niche interest within the HoME series; value reduced pending confirmation of printing status,8.18,"Very Fine, hasDJ | Excellent book and dust jacket condition","Sixth volume of Christopher Tolkien's History of Middle-earth, the first installment covering the drafting history of The Lord of the Rings — tracing the evolution of Bilbo's ring into the Ruling Ring, the emergence of the Black Rider, and the development of the character Trotter (later Aragorn), concluding at the Tomb of Balin in Moria.",,Own
The Sea-Wolf,Jack London,1904,"The Easton Press, Norwalk, CT",Adventure / Literary Fiction / Nautical,The 100 Greatest Books Ever Written,Hardcover,,,Easton Press Collector's Edition,1979 Easton Press printing,$18,"Common; mass-produced leatherbound collectible series, widely available, not scarce",8.12,"Near Mint, noDJ | Near Mint; bonded leather binding, gilt edges, no dust jacket as issued","Jack London's psychological adventure novel follows literary critic Humphrey Van Weyden, who survives a ferry collision only to be pressed into brutal service aboard the seal-hunting schooner Ghost, ruled by the tyrannical and formidable Captain Wolf Larsen. This Easton Press edition features an introduction by Edmund Gilligan and illustrations by Fletcher Martin, originally created for the 1961 George Macy Companies edition.",,Own
The Secret on Ararat,Tim LaHaye & Bob Phillips,2004,Bantam Dell,Christian Suspense,Babylon Rising,Hardcover,384,0-553-80323-9,First Edition,First printing,$10,Common; first edition hardcover from a large bestseller print run with abundant used copies in circulation,8.4,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"Biblical scholar and archaeologist Michael Murphy undertakes a death-defying quest up Mount Ararat in search of Noah's Ark, uncovering prophecies that draw him closer to a terrifying evil. Second entry in Tim LaHaye's Babylon Rising series.",No,
"The Secret Teachings of All Ages: An Encyclopedic Outline of Masonic, Hermetic, Qabbalistic and Rosicrucian Symbolical Philosophy",Manly P. Hall,1928,Philosophical Research Society,Philosophy/Occult,,Hardcover,245,978-0-89314-538-6,Golden Anniversary Edition,1977 Printing,$850,Rare,8.6,Very Fine | Very Fine,"An encyclopedic exploration of esoteric and occult traditions, offering readers a scholarly overview of ancient wisdom, symbolism, and secret teachings from multiple civilizations.",,Own
The Shadow of the Torturer,Gene Wolfe,1980,Timescape/Pocket Books (Simon & Schuster),Fantasy / Science Fantasy,"The Book of the New Sun, Volume 1",Hardcover with dust jacket,303,,Book Club Edition,Book Club Edition,$12,"Common; book club edition, lower collector value than the true Timescape first edition, but desirable as a landmark genre title",7.68,"Very Fine, protectedDJ, bce | Immaculate condition; dust jacket protected","First volume of Gene Wolfe's The Book of the New Sun, widely regarded as a landmark of literary science fantasy. Follows Severian, an apprentice torturer exiled from his guild for showing mercy to a condemned prisoner, as he journeys from the city of Nessus toward the distant metropolis of Thrax. This copy is a Science Fantasy Book Club edition rather than the true Timescape first edition.",,Own
The Shadows of Creation: Dark Matter and the Structure of the Universe,Michael Riordan and David N. Schramm,1991,"Newbridge Book Clubs (W.H. Freeman and Co. text), Delran, NJ",Science / Astrophysics / Cosmology,,Hardcover with dust jacket,305,0-7167-2157-0,Book Club Edition,First Printing (Book Club Edition),$6,"Common; book club edition, lower collector value than W.H. Freeman trade first",,"Excellent condition, barely shelf worn dust jacket | hasDJ","Popular science exploration of dark matter and its role in the structure and origins of the universe, with a foreword by Stephen Hawking",,Own
"The Shaping of Middle-earth: The Quenta, the Ambarkanta and the Annals",J.R.R. Tolkien,1986,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 4",Hardcover with dust jacket,380,0-395-42501-8,First Edition (US),First Printing,$40,"Uncommon; niche interest even among Tolkien collectors, contains the earliest draft version of the Silmarillion material",7.86,"Near Fine, hasDJ | Near Fine; dust jacket wrinkled and shelf worn","Fourth volume of Christopher Tolkien's History of Middle-earth series, presenting the Quenta, the Ambarkanta ('Shape of the World'), and the Annals of Valinor and Beleriand, together with the earliest version of 'The Silmarillion' and the first map of Middle-earth. Edited with extensive commentary by Christopher Tolkien.",,Own
The Ships of Earth,Orson Scott Card,1994,"Tor Books (Tom Doherty Associates, Inc.)",Science Fiction,"Homecoming Saga, Book 3",Hardcover with dust jacket,0,0-312-85659-8,First Edition,"First Trade Edition, February 1994 (full number line to 1)",$18,"Common; large print run, not scarce, but desirable as a complete matched first-edition set",7.16,"Very Fine, hasDJ | Great condition; light dust jacket wear, mainly on top edges","Third volume of the Homecoming saga, continuing the journey of Nafai's family across the desert toward Harmony's hidden starport as tensions rise within the traveling household. Maps by Ellisa Mitchell.",,Own
The Silmarillion,J.R.R. Tolkien,1977,"Houghton Mifflin Company, Boston",Fantasy / Mythopoeia,Middle-earth,Hardcover with dust jacket,365,0-395-25730-1,First American Edition,First Printing,$55,"Common; large first print run, but genuinely collectible as a true first with intact number line and dust jacket",8.08,"Near Fine, protectedDJ | Near Fine book; dust jacket protected but shows some wear, not perfect","J.R.R. Tolkien's posthumously published mythology of the First Age of Middle-earth, edited by his son Christopher Tolkien. Chronicles the creation of the world, the Silmarils, and the wars against Morgoth that precede the events of The Hobbit and The Lord of the Rings.",,Own
The Skin Collector,Jeffery Deaver,2014,"Grand Central Publishing, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 11",Hardcover,,978-1-4555-1713-8,First Edition,"First Printing, May 2014 (number line to 1)",$8,"Common; bestselling thriller series entry, widely available, not scarce",7.98,"Very Fine, hasDJ | Very Fine book; Fair dust jacket","Eleventh Lincoln Rhyme novel, in which Rhyme and Amelia Sachs investigate a serial killer inspired by the case that first introduced Rhyme, who tattoos cryptic, poison-laced messages onto his victims' skin.",,Own
The Slave Ship: A Human History,Marcus Rediker,2007,"Viking (Penguin Group), New York",History / African American Studies / Maritime History,,Hardcover,434,978-0-670-01823-9,First Edition,First Printing (number line to 1),$18,"Common; widely reviewed and printed history title, not scarce",8.28,"Near Fine, hasDJ | Near Fine book and dust jacket","A history of the transatlantic slave trade told through the lens of the slave ship itself, drawing on decades of research in maritime archives, court records, and firsthand accounts to reconstruct the experiences of captains, sailors, and enslaved captives aboard these 'floating dungeons.'",,Own
The Sleeping Doll,Jeffery Deaver,2007,Simon & Schuster,Fiction,Kathryn Dance,Hardcover,448,0743260945,First Edition,1st Printing,$6.00,Common; a New York Times bestseller with abundant surviving copies,79,"Near Fine: light wear, hasDJ, protectedDJ","First novel in Deaver's Kathryn Dance series, following a kinesics expert who must track down an escaped convicted killer known as the ""Son of Manson"" before he claims more victims.",No,Own
The Spook's Bestiary: The Guide to Creatures of the Dark,Joseph Delaney,2014,"Greenwillow Books (HarperCollins), New York",Fantasy / Horror / Young Adult,The Last Apprentice / Wardstone Chronicles,Paperback,228,978-0-06-208115-5,First Greenwillow Paperback Edition,Third Printing,$4,"Common; mass-market YA paperback, widely available",8.24,"Paperback, more worn, some creases","Companion volume to The Last Apprentice series, presented as spook John Gregory's own illustrated notebook cataloging boggarts, witches, and other dark creatures alongside stories from his apprenticeship",,Own
The Stand,Stephen King,1980,"Signet, New American Library, New York, NY",Horror / Post-Apocalyptic Fiction,,Paperback,0,,First Signet Printing,Jan-80,$10,Uncommon; collectible early mass-market paperback edition of Stephen King's classic,8.7,"Good | Good (G); paperback; spine wear, general cover wear","Stephen King's epic tale of a post-apocalyptic world ravaged by a deadly superflu, chronicling the battle between good and evil among the survivors. First Signet paperback edition.",,Own
The Stand: The Complete & Uncut Edition,Stephen King,1990,Doubleday,Horror / Post-Apocalyptic Fiction,,Hardcover,1152,0-385-19957-0,First Edition (Complete & Uncut),Third Printing,$25,"Common; widely printed, more valuable in first printing with jacket",9,"Near Fine, noDJ | Like New; hardcover; no dust jacket issued","The expanded, uncut edition of King's epic tale of a post-apocalyptic America ravaged by a deadly superflu, chronicling the survivors' struggle between good and evil. Includes over 400 pages cut from the original 1978 edition, with new illustrations by Bernie Wrightson.",No,Own
The Steel Kiss,Jeffery Deaver,2016,"Grand Central Publishing, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 12",Hardcover,496,978-1-4555-3634-4,First Edition,"First Printing, March 2016 (number line to 1)",$8,"Common; recent bestselling thriller series entry, widely available, not scarce",8.14,"Near Mint, hasDJ | Near Mint book; dust jacket with minor bottom wear","Twelfth Lincoln Rhyme novel, in which forensic detective Rhyme and Amelia Sachs investigate a deadly escalator malfunction that proves to be the first in a series of intentional attacks by a killer who turns everyday consumer products into murder weapons.",,Own
The Stepford Wives,Ira Levin,0,"Fawcett Publications, Inc., Greenwich, Connecticut",Fiction / Thriller / Satire,,Paperback,0,,Fawcett Crest reprint edition,Aug-73,$10,"Common; widely printed, collectible primarily for condition and as a vintage paperback",8.6,"Near Fine | Near Fine; paperback; minimal wear, bright pages, tight binding","A suburban thriller in which newly arrived Joanna Eberhart suspects the women of Stepford, Connecticut, are being transformed into impossibly perfect housewives. Ira Levin's dark satire on gender roles, paranoia, and conformity has inspired multiple film adaptations and remains a cultural touchstone. This is the 1973 Fawcett Crest paperback reprint of the 1972 novel.",,Own
The Stone Monkey,Jeffery Deaver,2002,"Simon & Schuster, New York",Mystery / Thriller / Crime Fiction,"Lincoln Rhyme, Book 4",Hardcover,432,0-7432-2199-0,First Edition,First Printing (number line to 2),$8,"Common; bestselling thriller series entry, widely available, not scarce",7.98,"Very Fine, hasDJ | Very Fine book and dust jacket","Fourth Lincoln Rhyme novel, in which Rhyme and Amelia Sachs race to stop a ruthless human smuggler known as the Ghost from hunting down the surviving Chinese immigrant families after a botched smuggling operation off the New York coast.",,Own
The Sweet Far Thing,Libba Bray,2007,"Delacorte Press (Random House Children's Books), New York",Young Adult / Fantasy / Historical Fantasy,"Gemma Doyle Trilogy, Book 3",Hardcover,819,978-0-385-73030-3,First Edition,First Printing (number line to 1),$12,"Common; widely printed bestselling YA finale, not scarce",7.94,"Fine, hasDJ | Fine book; Near Fine dust jacket","Concluding volume of the Gemma Doyle trilogy, following sixteen-year-old Gemma as she prepares for her London debut while the Order and the Rakshana struggle for control of the magical realms, and she must decide the fate of the power she has bound to herself. Set at Spence Academy in Victorian England.",,Own
The Sword of the Lictor,Gene Wolfe,1981,Timescape Books (Simon & Schuster/Pocket Books),Fantasy / Science Fantasy,"The Book of the New Sun, Volume 3",Hardcover with dust jacket,279,0-671-63193-4,Book Club Edition,Book Club Edition,$10,"Common; book club edition and ex-library copy, both reduce collector value despite the title's award pedigree",8.50,"Good, hasDJ, bce, exLibrary | Ex-library copy with embossed library stamp on first page; dust jacket present with wear","Third volume of Gene Wolfe's The Book of the New Sun. Severian takes up his post as Lictor (executioner) in the city of Thrax before fleeing into the mountains, where he encounters the Alzabo and takes in an orphaned boy. Winner of the 1983 Locus Award for Best Fantasy Novel and the 1983 August Derleth Award; also nominated for the Nebula, Hugo, BSFA, and World Fantasy Awards. This copy is a Science Fantasy Book Club edition, further marked as ex-library by an embossed stamp on the first page.",,Own
The Tale of the Body Thief,Anne Rice,1992,"Alfred A. Knopf (Borzoi Book), New York",Horror / Gothic Fiction / Vampire Fiction,"The Vampire Chronicles, Book 4",Hardcover,430,0-679-40528-3,First Edition,"Fifth Printing, November 1992",$6,"Common; widely printed bestselling entry in a major horror series, not scarce",7.46,"Good, hasDJ | Good book; Fair dust jacket, price-clipped","Fourth novel in The Vampire Chronicles, following an isolated and doubt-ridden Lestat as he strikes a dangerous bargain with a mysterious body thief to experience mortal life again. Includes reprinted poems by W.B. Yeats, 'The Dolls' and 'Sailing to Byzantium.'",,Own
The Talismans of Shannara,Terry Brooks,1993,Del Rey,Fiction,Heritage of Shannara,Hardcover,453,0345363000,First Edition,1st Printing,$10.00,Common; a widely printed series entry with abundant surviving copies,81,"Near Fine: light wear, hasDJ, protectedDJ","Fourth and final novel in Brooks's Heritage of Shannara tetralogy, bringing the struggle between a band of determined heroes and a pervasive evil threatening Shannara to its conclusion.",No,Own
The Temptation of Elminster,Ed Greenwood,1998,"TSR, Inc.",Fantasy / Dungeons & Dragons / Forgotten Realms,"The Elminster Series, Book 3",Hardcover with dust jacket,345,0-7869-1189-1,First Edition,"First Printing, December 1998 (full number line to 1)",$20,"Common; mass-market D&D tie-in fiction, not scarce, but desirable in top condition",7.46,"Very Fine, hasDJ | Almost perfect, as new; dust jacket immaculate; spine uncracked, likely unread","Third and concluding novel of the original Elminster trilogy by Ed Greenwood, in which the wizard emerges from a tomb after the fall of Myth Drannor and is drawn into confrontation with the sorceress known as the Lady of Shadows. Cover art by Todd Lockwood.",,Own
The Tolkien Companion,J. E. A. Tyler,1976,"St. Martin's Press, New York",Fantasy Reference / Concordance,,Hardcover,446,0-312-13612-5,First Edition,First Printing,$30,Uncommon; collectible for Tolkien scholarship,8.5,"Very Fine, protectedDJ | Very Fine (VF): Hardcover; lightly worn dust jacket protected with plastic","An alphabetical reference guide to the characters, places, and themes of J.R.R. Tolkien's Middle-earth, edited and illustrated to aid readers of The Lord of the Rings, The Hobbit, and related works.",No,Own
"The Treason of Isengard: The History of the Lord of the Rings, Part Two",J.R.R. Tolkien,1989,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 7",Hardcover with dust jacket,504,0-395-51562-9,First Edition (US),"Printing uncertain — number line reads 'HAD 10 9 8 7 6' (does not descend to 1); likely a later printing, not confirmed as true first",$30,Uncommon; niche interest within the HoME series; value reduced pending confirmation of printing status,8.38,"Near Fine, hasDJ | Near perfect book and dust jacket","Seventh volume of Christopher Tolkien's History of Middle-earth, the second installment covering the drafting history of The Lord of the Rings — tracing the story from Rivendell through Moria and Lothlórien to the meeting with Théoden, including the evolving conception of Galadriel, Rohan, and Saruman's fortress at Isengard.",,Own
